gene	foldchange
Rv0549c	17.2409710999051
Rv0558	49.6355934725151
Rv0559c	136.255551201493
Rv0562	139.226525140733
Rv0563	419.997251155615
Rv0565c	20.6833499038189
Rv0573c	14.1008003148171
Rv0581	120.166519196505
Rv0583c	13.2229432391761
Rv0584	17.3765642455954
Rv0585c	20.5823240221477
Rv0592	12.5450031751822
Rv0593	9.58838456408521
Rv0596c	3.4710840565594
Rv0600c	4.61484881753566
Rv0601c	3.59171693374314
Rv0602c	6.50960064332843
Rv0608	54.7967887452463
Rv0609	51.6944600116435
Rv0614	5.53284472468536
Rv0615	30.0180340385582
Rv0616A	30.627915549859
Rv0619	3.45889714180846
Rv0620	9.41756260263087
Rv0621	17.9961059933207
Rv0623	44.4093696460092
Rv0631c	29.3883442246924
Rv0632c	125.994370592944
Rv0634A	57.8801206835577
Rv0634B	34.1104569289421
Rv0634c	48.6855468498139
Rv0635	151.725161172586
Rv0637	153.712976382326
Rv0638	200.934535151233
Rv0639	353.557030897563
Rv0640	120.97453392259
Rv0641	386.160986619264
Rv0642c	131.796562601954
Rv0648	28.6343327452055
Rv0649	4.85116377417026
Rv0650	6.40276039849297
Rv0657c	8.87684562846211
Rv0659c	81.177537256578
Rv0660c	171.515768197903
Rv0661c	3.40565633317494
Rv0662c	3.31437191029383
Rv0670	75.8186764187963
Rv0672	310.29769678639
Rv0673	93.5980262261631
Rv0677c	38.8900682366071
Rv0679c	17.3271500157742
Rv0682	230.727223249592
Rv0683	194.805076775249
Rv0684	1323.59251473183
Rv0689c	2.81275157204682
Rv0694	34.1883103759192
Rv0696	18.5353659747638
Rv0697	5.64529768577984
Rv0698	6.36655985206407
Rv0700	276.926003589697
Rv0701	288.40658157521
Rv0705	108.271446525455
Rv0709	63.2666514006009
Rv0717	40.7381269538425
Rv0718	118.449702932579
Rv0724	367.073956816906
Rv0727c	5.58975186840633
Rv0730	55.1593708850475
Rv0750	41.9540625487513
Rv0751c	90.5890701323307
Rv0752c	258.103763012676
Rv0753c	925.190103474759
Rv0754	109.16998354054
Rv0757	108.613375105204
Rv0767c	58.9568901080295
Rv0768	271.98550662032
Rv0769	72.8384460153572
Rv0774c	62.5488730518024
Rv0778	32.1629654285775
Rv0787	22.2594602883158
Rv0790c	30.774745788642
Rv0791c	46.9260300464336
Rv0792c	132.323540711548
Rv0797	7.79155765769664
Rv0798c	24.7140844001101
Rv0807	4.03997950724678
Rv0810c	39.9766574068366
Rv0815c	245.340181567341
Rv0821c	109.884995787691
Rv0823c	161.331742755637
Rv0824c	574.712306419413
Rv0826	132.051000214024
Rv0829	6.83781420453877
Rv0830	91.9846636370617
Rv0839	59.0284240890669
Rv0847	76.580712995142
Rv0850	3.07309970206019
Rv0852	6.27572793824506
Rv0855	25.117060274508
Rv0857	40.7925951345949
Rv0858c	16.957768189291
Rv0862c	36.4276794439695
Rv0863	49.6239753642275
Rv0864	94.9260628400989
Rv0868c	6.68652109954942
Rv0870c	28.2951007202575
Rv0873	194.79833145187
Rv0878c	14.1244381332675
Rv0888	12.0179189925139
Rv0890c	39.0343735622631
Rv0891c	9.20139608193653
Rv0893c	6.06374565408907
Rv0894	5.73363348857648
Rv0895	8.81707211424249
Rv0898c	36.0356201757386
Rv0901	13.9624832352866
Rv0903c	67.9978257588538
Rv0905	100.497313999035
Rv0908	61.9310029781772
Rv0921	81.8044519331252
Rv0923c	14.9250215417813
Rv0927c	7.11585279792496
Rv0929	14.5742912319836
Rv0930	20.0943186555894
Rv0932c	382.75332482526
Rv0936	23.4678428287867
Rv0943c	6.3111769019607
Rv0951	268.396029406983
Rv0952	174.732654860916
Rv0961	7.5464737494634
