node1	node2
Rv0352	Rv0933
Rv0352	Rv1161
Rv0352	Rv1253
Rv0352	Rv1297
Rv0352	Rv1308
Rv0352	Rv1310
Rv0352	Rv1340
Rv0352	Rv1392
Rv0352	Rv1630
Rv0352	Rv1641
Rv0352	Rv1736c
Rv0352	Rv2241
Rv0352	Rv2373c
Rv0352	Rv2397c
Rv0352	Rv2436
Rv0352	Rv2457c
Rv0352	Rv2592c
Rv0352	Rv2733c
Rv0352	Rv2737c
Rv0352	Rv2833c
Rv0352	Rv2839c
Rv0352	Rv2879c
Rv0352	Rv2883c
Rv0352	Rv2890c
Rv0352	Rv2904c
Rv0352	Rv2996c
Rv0352	Rv3080c
Rv0352	Rv3211
Rv0352	Rv3313c
Rv0352	Rv3436c
Rv0352	Rv3458c
Rv0352	Rv3460c
Rv0352	Rv3596c
Rv0352	Rv3797
Rv0357c	Rv0425c
Rv0357c	Rv0908
Rv0357c	Rv1997
Rv0363c	Rv0440
Rv0363c	Rv0655
Rv0363c	Rv0668
Rv0363c	Rv0685
Rv0363c	Rv0820
Rv0363c	Rv0933
Rv0363c	Rv2150c
Rv0363c	Rv2373c
Rv0363c	Rv2397c
Rv0363c	Rv2879c
Rv0363c	Rv2890c
Rv0363c	Rv3080c
Rv0363c	Rv3417c
Rv0363c	Rv3455c
Rv0373c	Rv0667
Rv0384c	Rv0417
Rv0384c	Rv0440
Rv0384c	Rv0490
Rv0384c	Rv0655
Rv0384c	Rv0667
Rv0384c	Rv0668
Rv0384c	Rv0683
Rv0384c	Rv0685
Rv0384c	Rv0700
Rv0384c	Rv0701
Rv0384c	Rv0702
Rv0384c	Rv0706
Rv0384c	Rv0716
Rv0384c	Rv0718
Rv0384c	Rv0758
Rv0384c	Rv0820
Rv0384c	Rv0933
Rv0384c	Rv0949
Rv0384c	Rv0986
Rv0384c	Rv1151c
Rv0384c	Rv1238
Rv0384c	Rv1272c
Rv0384c	Rv1281c
Rv0384c	Rv1286
Rv0384c	Rv1297
Rv0384c	Rv1630
Rv0384c	Rv1640c
Rv0384c	Rv1687c
Rv0384c	Rv1821
Rv0384c	Rv1837c
Rv0384c	Rv1859
Rv0384c	Rv2038c
Rv0384c	Rv2373c
Rv0384c	Rv2397c
Rv0384c	Rv2441c
Rv0384c	Rv2457c
Rv0384c	Rv2564
Rv0384c	Rv2583c
Rv0384c	Rv2592c
Rv0384c	Rv2682c
Rv0384c	Rv2688c
Rv0384c	Rv2832c
Rv0384c	Rv2879c
Rv0384c	Rv2883c
Rv0384c	Rv2890c
Rv0384c	Rv2900c
Rv0384c	Rv2916c
Rv0384c	Rv2921c
Rv0384c	Rv2936
Rv0384c	Rv3100c
Rv0384c	Rv3102c
Rv0384c	Rv3198c
Rv0384c	Rv3240c
Rv0384c	Rv3245c
Rv0384c	Rv3379c
Rv0384c	Rv3417c
Rv0384c	Rv3443c
Rv0384c	Rv3458c
Rv0384c	Rv3596c
Rv0384c	Rv3598c
Rv0384c	Rv3663c
Rv0384c	Rv3758c
Rv0384c	Rv3764c
Rv0389	Rv3398c
Rv0391	Rv0808
Rv0391	Rv1079
Rv0391	Rv2361c
Rv0400c	Rv1819c
Rv0400c	Rv2088
Rv0400c	Rv2176
Rv0405	Rv1180
Rv0405	Rv1181
Rv0405	Rv1527c
Rv0405	Rv1661
Rv0405	Rv1662
Rv0405	Rv1663
Rv0405	Rv1664
Rv0405	Rv2048c
Rv0405	Rv2245
Rv0405	Rv2246
Rv0405	Rv2381c
Rv0405	Rv2382c
Rv0405	Rv2931
Rv0405	Rv2932
Rv0405	Rv2933
Rv0405	Rv2934
Rv0405	Rv2935
Rv0405	Rv2940c
Rv0405	Rv2946c
Rv0405	Rv2947c
Rv0405	Rv3800c
Rv0405	Rv3825c
Rv0408	Rv0685
Rv0408	Rv2373c
Rv0408	Rv3051c
Rv0409	Rv0685
Rv0409	Rv1640c
Rv0409	Rv3598c
Rv0409	Rv3809c
Rv0417	Rv0440
Rv0417	Rv3417c
